"Seq_ID	subsample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq"
"CS00065	0.1	NC_017592.1	1	2036867	1425829	225444	11.0682	19.1904	35.5	4.86"
"CS00065	0.25	NC_017592.1	1	2036867	3569658	349639	17.1655	48.0414	35.4	4.88"
"CS00065	0.5	NC_017592.1	1	2036867	7142646	467534	22.9536	96.1336	35.4	4.88"
"CS00065	1.0	NC_017592.1	1	2036867	14285064	595494	29.2358	192.268	35.5	4.89"
"CS00066	0.025	NC_017592.1	1	2036867	294059	22042	1.08215	3.62379	35.6	4.57"
"CS00066	0.05	NC_017592.1	1	2036867	587750	30995	1.5217	7.24343	35.6	4.6"
"CS00066	0.075	NC_017592.1	1	2036867	880282	37095	1.82118	10.8472	35.6	4.61"
"CS00066	0.125	NC_017592.1	1	2036867	1470715	47486	2.33133	18.1238	35.6	4.61"
"CS00066	0.1	NC_017592.1	1	2036867	1175690	43076	2.11482	14.4873	35.6	4.61"
"CS00066	0.25	NC_017592.1	1	2036867	2942408	63846	3.13452	36.2683	35.6	4.6"
"CS00066	0.5	NC_017592.1	1	2036867	5878707	87117	4.27701	72.449	35.6	4.59"
"CS00066	1.0	NC_017592.1	1	2036867	11758489	112225	5.50969	144.906	35.6	4.59"
"CS00067	0.025	NC_017592.1	1	2036867	294221	753718	37.0038	15.8427	35.6	37.9"
"CS00067	0.05	NC_017592.1	1	2036867	587086	990256	48.6166	31.6186	35.6	37.9"
"CS00067	0.075	NC_017592.1	1	2036867	881272	1144423	56.1855	47.4481	35.6	38"
"CS00067	0.125	NC_017592.1	1	2036867	1471344	1341294	65.8508	79.233	35.6	37.9"
"CS00067	0.1	NC_017592.1	1	2036867	1176112	1257522	61.7381	63.3429	35.6	37.9"
"CS00067	0.25	NC_017592.1	1	2036867	2938057	1575132	77.3311	158.211	35.6	37.9"
"CS00067	0.5	NC_017592.1	1	2036867	5871487	1759914	86.403	316.22	35.6	38"
"CS00067	1.0	NC_017592.1	1	2036867	11742437	1880409	92.3187	632.376	35.6	38"
"CS00068	0.025	NC_017592.1	1	2036867	788434	791062	38.8372	41.8214	35.7	34.7"
"CS00068	0.05	NC_017592.1	1	2036867	1576423	998385	49.0157	83.5783	35.7	34.7"
